SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,WON,Player ID
0.593,0.407,0.281,0.719,0.387,0.613,77,0.3273215839989629,0.186,-0.4379999999999999,-0.2259999999999999,0.42354368932038844,-1.0,44
0.431,0.569,0.34,0.66,0.571,0.429,360,1.7946252364081068,-0.1379999999999999,-0.32,0.1419999999999999,0.2718446601941747,1.0,27
0.466,0.534,0.288,0.712,0.522,0.478,42,-1.7946252364081068,-0.068,-0.424,0.044,0.23300970873786409,-1.0,16
0.575,0.425,0.333,0.667,0.696,0.304,30,-0.18059121875804848,0.1499999999999999,-0.334,0.3919999999999999,0.43932038834951465,1.0,14
0.608,0.392,0.26,0.74,0.652,0.348,62,0.18059121875804848,0.2159999999999999,-0.48,0.304,0.5145631067961166,-1.0,20
0.625,0.375,0.375,0.625,0.583,0.417,668,0.0,0.25,-0.25,0.1659999999999999,0.31189320388349523,-1.0,56
0.636,0.364,0.393,0.607,0.709,0.291,143,0.0,0.272,-0.2139999999999999,0.418,0.45631067961165056,1.0,31
0.611,0.389,0.333,0.667,0.833,0.167,59,0.13544341406853636,0.2219999999999999,-0.334,0.6659999999999999,0.6492718446601943,-1.0,47
0.606,0.394,0.242,0.758,0.303,0.697,35,-0.13544341406853636,0.2119999999999999,-0.516,-0.3939999999999999,0.5885922330097089,1.0,30
0.454,0.546,0.386,0.614,0.5,0.5,88,0.24831292579231667,-0.092,-0.2279999999999999,0.0,0.10194174757281553,-1.0,21
0.448,0.552,0.367,0.633,0.739,0.261,44,-0.24831292579231667,-0.104,-0.266,0.478,0.42233009708737873,1.0,22
0.487,0.513,0.615,0.385,0.641,0.359,288,1.3149298115820405,-0.026,0.2299999999999999,0.282,0.2342233009708738,-1.0,19
0.52,0.48,0.395,0.605,0.531,0.469,55,-1.3149298115820405,0.04,-0.2099999999999999,0.062,0.09708737864077681,1.0,26
0.477,0.523,0.386,0.614,0.59,0.41,109,0.0,-0.046,-0.2279999999999999,0.18,0.18325242718446605,-1.0,51
0.511,0.489,0.372,0.628,0.634,0.366,127,0.0,0.022,-0.256,0.268,0.2390776699029127,1.0,36
0.565,0.435,0.195,0.805,0.644,0.356,19,-0.2257390234475606,0.1299999999999999,-0.6100000000000001,0.288,0.5315533980582526,-1.0,25
0.557,0.443,0.326,0.674,0.596,0.404,59,0.2257390234475606,0.114,-0.348,0.1919999999999999,0.304611650485437,1.0,47
0.489,0.511,0.319,0.681,0.617,0.383,30,-0.8634517646869193,-0.022,-0.362,0.2339999999999999,0.28276699029126223,1.0,14
0.522,0.478,0.363,0.637,0.613,0.387,183,0.8634517646869193,0.044,-0.274,0.2259999999999999,0.23786407766990295,-1.0,57
0.461,0.539,0.23,0.77,0.538,0.462,360,0.0,-0.078,-0.54,0.076,0.32888349514563114,-1.0,27
0.45,0.55,0.4,0.6,0.625,0.375,281,0.0,-0.1,-0.1999999999999999,0.25,0.24150485436893207,1.0,58
0.454,0.546,0.333,0.667,0.363,0.637,19,-0.9255299961349985,-0.092,-0.334,-0.274,0.33252427184466027,1.0,25
